HTO,HTO_2,HTO_classification,color
noStim_gRNA1,noStim,HTO-A04_HTO-A12,#FF61C3
noStim_gRNA2,noStim,HTO-A04_HTO-A13,#FF61C3
NTC_gRNA1,NTC,HTO-A01_HTO-A14,#E76BF3
NTC_gRNA2,NTC,HTO-A01_HTO-A15,#E76BF3
CD4_gRNA1,CD4,HTO-A02_HTO-A14,#00B0F6
CD4_gRNA2,CD4,HTO-A02_HTO-A15,#00B0F6
CD3E_gRNA1,CD3E,HTO-A03_HTO-A14,#00BF7D
CD3E_gRNA2,CD3E,HTO-A03_HTO-A15,#00BF7D
ZAP70_gRNA1,ZAP70,HTO-A09_HTO-A14,#A3A500
ZAP70_gRNA2,ZAP70,HTO-A09_HTO-A15,#A3A500
CD28_gRNA1,CD28,HTO-A08_HTO-A14,#001588
CD28_gRNA2,CD28,HTO-A08_HTO-A15,#001588
MKI67_gRNA1,MKI67,HTO-A07_HTO-A14,#9590FF
MKI67_gRNA2,MKI67,HTO-A07_HTO-A15,#9590FF
CTLA4_gRNA1,CTLA4,HTO-A05_HTO-A14,#FFA300
CTLA4_gRNA2,CTLA4,HTO-A05_HTO-A15,#FFA300
CD69_gRNA1,CD69,HTO-A04_HTO-A14,#53AF33
CD69_gRNA2,CD69,HTO-A04_HTO-A15,#53AF33
CD45_gRNA1,CD45,HTO-A10_HTO-A14,#23B392
CD45_gRNA2,CD45,HTO-A10_HTO-A15,#23B392
PD1_gRNA1,PD1,HTO-A02_HTO-A12,#E36672
PD1_gRNA2,PD1,HTO-A02_HTO-A13,#E36672
IFNG_gRNA1,IFNG,HTO-A06_HTO-A14,#ADD6A0
IFNG_gRNA2,IFNG,HTO-A06_HTO-A15,#ADD6A0
